"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)"
0,8.871246337890625,12.354152679443359
0.10000000000000001,9.7603912353515625,
0.20000000000000001,10.4630126953125,
0.29999999999999999,9.85491943359375,
0.40000000000000002,8.9887771606445312,
0.5,8.1507339477539062,
0.59999999999999998,7.4225616455078125,
0.69999999999999996,6.7761459350585938,
0.80000000000000004,6.2549285888671875,
0.90000000000000002,5.8282394409179688,
1,5.5625228881835938,
1.1000000000000001,5.3657913208007812,
1.2,5.209930419921875,
1.3,5.0131988525390625,
1.3999999999999999,4.8445663452148438,
1.5,4.76025390625,
1.6000000000000001,4.7168197631835938,
1.7,4.6912689208984375,
1.8,4.8011322021484375,
1.8999999999999999,5.1946029663085938,
2,5.9202194213867188,
2.1000000000000001,6.85791015625,
2.2000000000000002,7.8134765625,
2.2999999999999998,8.8175888061523438,
2.3999999999999999,9.8140411376953125,
2.5,10.705734252929688,
2.6000000000000001,11.556549072265625,
2.7000000000000002,12.4124755859375,
2.7999999999999998,13.219856262207031,
2.8999999999999999,13.960807800292969,
3,14.476921081542969,
3.1000000000000001,14.660881042480469,
3.2000000000000002,14.699203491210938,
3.2999999999999998,14.67620849609375,
3.3999999999999999,14.471809387207031,
3.5,14.075782775878906,
3.6000000000000001,13.559669494628906,
3.7000000000000002,12.974578857421875,
3.7999999999999998,12.213188171386719,
3.8999999999999999,10.692962646484375,
4,8.54931640625,
4.0999999999999996,7.0623092651367188,
4.2000000000000002,5.8026962280273438,
4.2999999999999998,5.1205062866210938,
4.4000000000000004,4.8113555908203125,
4.5,4.5865097045898438,
4.5999999999999996,4.4229965209960938,
4.7000000000000002,4.2850189208984375,
4.7999999999999998,4.15216064453125,
4.9000000000000004,4.0806198120117188,
5,4.0652923583984375,
5.0999999999999996,4.0652923583984375,
5.2000000000000002,4.0831756591796875,
5.2999999999999998,4.0985107421875,
5.4000000000000004,4.2058181762695312,
5.5,4.6938247680664062,
5.5999999999999996,5.5625228881835938,
5.7000000000000002,6.6151809692382812,
5.7999999999999998,7.7470474243164062,
5.9000000000000004,8.9606704711914062,
6,10.189628601074219,
6.0999999999999996,11.43902587890625,
6.2000000000000002,12.706298828125,
6.2999999999999998,13.835609436035156,
6.4000000000000004,14.89593505859375,
6.5,15.744194030761719,
6.5999999999999996,16.099342346191406,
6.7000000000000002,16.158103942871094,
6.7999999999999998,16.209205627441406,
6.9000000000000004,16.173439025878906,
7,15.986923217773438,
7.0999999999999996,15.744194030761719,
7.2000000000000002,15.560234069824219,
7.2999999999999998,15.243415832519531,
7.4000000000000004,14.545906066894531,
7.5,12.969467163085938,
7.5999999999999996,10.506446838378906,
7.7000000000000002,8.1328506469726562,
7.7999999999999998,6.5921859741210938,
7.9000000000000004,5.7490386962890625,
8,5.2533645629882812,
8.0999999999999996,4.9391021728515625,
8.1999999999999993,4.7806930541992188,
8.3000000000000007,4.5992889404296875,
8.4000000000000004,4.3412322998046875,
8.5,4.19049072265625,
8.5999999999999996,4.15216064453125,
8.6999999999999993,4.1368331909179688,
8.8000000000000007,4.1266098022460938,
8.9000000000000004,4.1266098022460938,
9,4.11639404296875,
9.0999999999999996,4.198150634765625,
9.1999999999999993,4.3718948364257812,
9.3000000000000007,4.6146163940429688,
9.4000000000000004,4.96209716796875,
9.5,5.3990020751953125,
9.5999999999999996,5.9636611938476562,
9.6999999999999993,6.61773681640625,
9.8000000000000007,7.2028350830078125,
9.9000000000000004,7.72149658203125,
10,8.2197189331054688,16.483516693115234
10.1,8.8789138793945312,
10.199999999999999,9.45123291015625,
10.300000000000001,9.8268203735351562,
10.4,10.018440246582031,
10.5,10.074653625488281,
10.6,9.9622344970703125,
10.699999999999999,9.7501678466796875,
10.800000000000001,9.2085037231445312,
10.9,8.16351318359375,
11,7.0623092651367188,
11.1,6.129730224609375,
11.199999999999999,5.3836746215820312,
11.300000000000001,5.0055313110351562,
11.4,4.8190155029296875,
11.5,4.5788497924804688,
11.6,4.3259048461914062,
11.699999999999999,4.1036148071289062,
11.800000000000001,3.8736648559570312,
11.9,3.7356948852539062,
12,3.7152557373046875,
12.1,3.7305908203125,
12.199999999999999,3.74847412109375,
12.300000000000001,3.7612457275390625,
12.4,3.7740249633789062,
12.5,3.9119949340820312,
12.6,4.3131256103515625,
12.699999999999999,4.9288864135742188,
12.800000000000001,5.6442794799804688,
12.9,6.4133377075195312,
13,7.225830078125,
13.1,8.0025482177734375,
13.199999999999999,8.7588272094726562,
13.300000000000001,9.589202880859375,
13.4,10.396583557128906,
13.5,10.833488464355469,
13.6,10.986785888671875,
13.699999999999999,11.175857543945312,
13.800000000000001,11.3087158203125,
13.9,11.306159973144531,
14,11.170745849609375,
14.1,10.851371765136719,
14.199999999999999,10.03887939453125,
14.300000000000001,8.7230606079101562,
14.4,7.547760009765625,
14.5,6.755706787109375,
14.6,6.0990753173828125,
14.699999999999999,5.4909820556640625,
14.800000000000001,4.9876480102539062,
14.9,4.5354156494140625,
15,4.2748031616210938,
15.1,4.13427734375,
15.199999999999999,4.0729598999023438,
15.300000000000001,4.014190673828125,
15.4,3.96820068359375,
15.5,3.9349899291992188,
15.6,3.886444091796875,
15.699999999999999,3.9119949340820312,
15.800000000000001,4.11639404296875,
15.9,4.5711822509765625,
16,5.2405929565429688,
16.100000000000001,5.9892044067382812,
16.199999999999999,6.8042526245117188,
16.300000000000001,7.6448440551757812,
16.399999999999999,8.439453125,
16.5,9.2928237915039062,
16.600000000000001,10.2432861328125,
16.699999999999999,10.981674194335938,
16.800000000000001,11.316383361816406,
16.899999999999999,11.336822509765625,
17,11.1630859375,
17.100000000000001,10.869255065917969,
17.199999999999999,10.391471862792969,
17.300000000000001,9.497222900390625,
17.399999999999999,8.2938156127929688,
17.5,7.2028350830078125,
17.600000000000001,6.341796875,
17.699999999999999,5.5676345825195312,
17.800000000000001,4.9314346313476562,
17.899999999999999,4.5456314086914062,
18,4.346343994140625,
18.100000000000001,4.144500732421875,
18.199999999999999,3.9886398315429688,
18.300000000000001,3.8711090087890625,
18.399999999999999,3.7305908203125,
18.5,3.5747299194335938,
18.600000000000001,3.500640869140625,
18.699999999999999,3.500640869140625,
18.800000000000001,3.5415191650390625,
18.899999999999999,3.6897048950195312,
19,4.0601806640625,
19.100000000000001,4.604400634765625,
19.199999999999999,5.174163818359375,
19.300000000000001,5.8716812133789062,
19.399999999999999,6.7352676391601562,
19.5,7.5809707641601562,
19.600000000000001,8.3806838989257812,
19.699999999999999,9.1139755249023438,
19.800000000000001,9.7220611572265625,
19.899999999999999,10.158966064453125,
20,10.363365173339844,17.37870979309082
20.100000000000001,10.411911010742188,
20.199999999999999,10.358261108398438,
20.300000000000001,9.9315719604492188,
20.399999999999999,8.8431396484375,
20.5,7.4889907836914062,
20.600000000000001,6.3162460327148438,
20.699999999999999,5.4347763061523438,
20.800000000000001,4.9135513305664062,
20.899999999999999,4.5788497924804688,
21,4.35400390625,
21.100000000000001,4.1393890380859375,
21.199999999999999,3.9656448364257812,
21.300000000000001,3.7612457275390625,
21.399999999999999,3.5900650024414062,
21.5,3.5389633178710938,
21.600000000000001,3.5440750122070312,
21.699999999999999,3.5594024658203125,
21.800000000000001,3.5696258544921875,
21.899999999999999,3.5594024658203125,
22,3.5849533081054688,
22.100000000000001,3.7867965698242188,
22.199999999999999,4.2313690185546875,
22.300000000000001,4.8573455810546875,
